name;lat;lon;magnitude
name0;-29.5;-24.0;10.0
name1;-29.5;-19.707894736842107;10.0
name2;-29.5;-15.41578947368421;10.0
name3;-29.5;-11.123684210526315;10.0
name4;-29.5;-6.8315789473684205;10.0
name5;-29.5;-2.5394736842105274;10.0
name6;-29.5;1.7526315789473692;10.0
name7;-29.5;6.044736842105266;10.0
name8;-29.5;10.336842105263159;10.0
name9;-29.5;14.628947368421052;10.0
name10;-29.5;18.921052631578945;10.0
name11;-29.5;23.213157894736845;10.0
name12;-29.5;27.50526315789474;10.0
name13;-29.5;31.79736842105263;10.0
name14;-29.5;36.08947368421053;10.0
name15;-29.5;40.381578947368425;10.0
name16;-29.5;44.67368421052632;10.0
name17;-29.5;48.96578947368421;10.0
name18;-29.5;53.257894736842104;10.0
name19;-29.5;57.55;10.0
name20;-26.263157894736842;-24.0;10.0
name21;-26.263157894736842;-19.707894736842107;10.0
name22;-26.263157894736842;-15.41578947368421;10.0
name23;-26.263157894736842;-11.123684210526315;10.0
name24;-26.263157894736842;-6.8315789473684205;10.0
name25;-26.263157894736842;-2.5394736842105274;10.0
name26;-26.263157894736842;1.7526315789473692;10.0
name27;-26.263157894736842;6.044736842105266;10.0
name28;-26.263157894736842;10.336842105263159;10.0
name29;-26.263157894736842;14.628947368421052;10.0
name30;-26.263157894736842;18.921052631578945;10.0
name31;-26.263157894736842;23.213157894736845;10.0
name32;-26.263157894736842;27.50526315789474;10.0
name33;-26.263157894736842;31.79736842105263;10.0
name34;-26.263157894736842;36.08947368421053;10.0
name35;-26.263157894736842;40.381578947368425;10.0
name36;-26.263157894736842;44.67368421052632;10.0
name37;-26.263157894736842;48.96578947368421;10.0
name38;-26.263157894736842;53.257894736842104;10.0
name39;-26.263157894736842;57.55;10.0
name40;-23.026315789473685;-24.0;10.0
name41;-23.026315789473685;-19.707894736842107;10.0
name42;-23.026315789473685;-15.41578947368421;10.0
name43;-23.026315789473685;-11.123684210526315;10.0
name44;-23.026315789473685;-6.8315789473684205;10.0
name45;-23.026315789473685;-2.5394736842105274;10.0
name46;-23.026315789473685;1.7526315789473692;10.0
name47;-23.026315789473685;6.044736842105266;10.0
name48;-23.026315789473685;10.336842105263159;10.0
name49;-23.026315789473685;14.628947368421052;30.0
name50;-23.026315789473685;18.921052631578945;30.0
name51;-23.026315789473685;23.213157894736845;30.0
name52;-23.026315789473685;27.50526315789474;10.0
name53;-23.026315789473685;31.79736842105263;20.0
name54;-23.026315789473685;36.08947368421053;30.0
name55;-23.026315789473685;40.381578947368425;20.0
name56;-23.026315789473685;44.67368421052632;30.0
name57;-23.026315789473685;48.96578947368421;30.0
name58;-23.026315789473685;53.257894736842104;10.0
name59;-23.026315789473685;57.55;10.0
name60;-19.789473684210527;-24.0;10.0
name61;-19.789473684210527;-19.707894736842107;10.0
name62;-19.789473684210527;-15.41578947368421;10.0
name63;-19.789473684210527;-11.123684210526315;10.0
name64;-19.789473684210527;-6.8315789473684205;10.0
name65;-19.789473684210527;-2.5394736842105274;10.0
name66;-19.789473684210527;1.7526315789473692;10.0
name67;-19.789473684210527;6.044736842105266;10.0
name68;-19.789473684210527;10.336842105263159;10.0
name69;-19.789473684210527;14.628947368421052;40.0
name70;-19.789473684210527;18.921052631578945;40.0
name71;-19.789473684210527;23.213157894736845;30.0
name72;-19.789473684210527;27.50526315789474;10.0
name73;-19.789473684210527;31.79736842105263;20.0
name74;-19.789473684210527;36.08947368421053;10.0
name75;-19.789473684210527;40.381578947368425;10.0
name76;-19.789473684210527;44.67368421052632;10.0
name77;-19.789473684210527;48.96578947368421;10.0
name78;-19.789473684210527;53.257894736842104;10.0
name79;-19.789473684210527;57.55;10.0
name80;-16.55263157894737;-24.0;10.0
name81;-16.55263157894737;-19.707894736842107;10.0
name82;-16.55263157894737;-15.41578947368421;10.0
name83;-16.55263157894737;-11.123684210526315;10.0
name84;-16.55263157894737;-6.8315789473684205;10.0
name85;-16.55263157894737;-2.5394736842105274;10.0
name86;-16.55263157894737;1.7526315789473692;10.0
name87;-16.55263157894737;6.044736842105266;10.0
name88;-16.55263157894737;10.336842105263159;10.0
name89;-16.55263157894737;14.628947368421052;40.0
name90;-16.55263157894737;18.921052631578945;40.0
name91;-16.55263157894737;23.213157894736845;30.0
name92;-16.55263157894737;27.50526315789474;10.0
name93;-16.55263157894737;31.79736842105263;20.0
name94;-16.55263157894737;36.08947368421053;30.0
name95;-16.55263157894737;40.381578947368425;20.0
name96;-16.55263157894737;44.67368421052632;40.0
name97;-16.55263157894737;48.96578947368421;40.0
name98;-16.55263157894737;53.257894736842104;10.0
name99;-16.55263157894737;57.55;10.0
name100;-13.315789473684209;-24.0;10.0
name101;-13.315789473684209;-19.707894736842107;10.0
name102;-13.315789473684209;-15.41578947368421;10.0
name103;-13.315789473684209;-11.123684210526315;10.0
name104;-13.315789473684209;-6.8315789473684205;10.0
name105;-13.315789473684209;-2.5394736842105274;10.0
name106;-13.315789473684209;1.7526315789473692;10.0
name107;-13.315789473684209;6.044736842105266;10.0
name108;-13.315789473684209;10.336842105263159;10.0
name109;-13.315789473684209;14.628947368421052;40.0
name110;-13.315789473684209;18.921052631578945;40.0
name111;-13.315789473684209;23.213157894736845;30.0
name112;-13.315789473684209;27.50526315789474;10.0
name113;-13.315789473684209;31.79736842105263;20.0
name114;-13.315789473684209;36.08947368421053;30.0
name115;-13.315789473684209;40.381578947368425;20.0
name116;-13.315789473684209;44.67368421052632;40.0
name117;-13.315789473684209;48.96578947368421;40.0
name118;-13.315789473684209;53.257894736842104;10.0
name119;-13.315789473684209;57.55;10.0
name120;-10.078947368421051;-24.0;10.0
name121;-10.078947368421051;-19.707894736842107;10.0
name122;-10.078947368421051;-15.41578947368421;10.0
name123;-10.078947368421051;-11.123684210526315;10.0
name124;-10.078947368421051;-6.8315789473684205;10.0
name125;-10.078947368421051;-2.5394736842105274;10.0
name126;-10.078947368421051;1.7526315789473692;10.0
name127;-10.078947368421051;6.044736842105266;10.0
name128;-10.078947368421051;10.336842105263159;10.0
name129;-10.078947368421051;14.628947368421052;40.0
name130;-10.078947368421051;18.921052631578945;40.0
name131;-10.078947368421051;23.213157894736845;30.0
name132;-10.078947368421051;27.50526315789474;10.0
name133;-10.078947368421051;31.79736842105263;20.0
name134;-10.078947368421051;36.08947368421053;30.0
name135;-10.078947368421051;40.381578947368425;20.0
name136;-10.078947368421051;44.67368421052632;40.0
name137;-10.078947368421051;48.96578947368421;40.0
name138;-10.078947368421051;53.257894736842104;10.0
name139;-10.078947368421051;57.55;10.0
name140;-6.842105263157894;-24.0;10.0
name141;-6.842105263157894;-19.707894736842107;10.0
name142;-6.842105263157894;-15.41578947368421;10.0
name143;-6.842105263157894;-11.123684210526315;10.0
name144;-6.842105263157894;-6.8315789473684205;10.0
name145;-6.842105263157894;-2.5394736842105274;10.0
name146;-6.842105263157894;1.7526315789473692;10.0
name147;-6.842105263157894;6.044736842105266;10.0
name148;-6.842105263157894;10.336842105263159;10.0
name149;-6.842105263157894;14.628947368421052;40.0
name150;-6.842105263157894;18.921052631578945;40.0
name151;-6.842105263157894;23.213157894736845;30.0
name152;-6.842105263157894;27.50526315789474;10.0
name153;-6.842105263157894;31.79736842105263;20.0
name154;-6.842105263157894;36.08947368421053;30.0
name155;-6.842105263157894;40.381578947368425;20.0
name156;-6.842105263157894;44.67368421052632;40.0
name157;-6.842105263157894;48.96578947368421;40.0
name158;-6.842105263157894;53.257894736842104;10.0
name159;-6.842105263157894;57.55;10.0
name160;-3.6052631578947363;-24.0;10.0
name161;-3.6052631578947363;-19.707894736842107;10.0
name162;-3.6052631578947363;-15.41578947368421;10.0
name163;-3.6052631578947363;-11.123684210526315;10.0
name164;-3.6052631578947363;-6.8315789473684205;10.0
name165;-3.6052631578947363;-2.5394736842105274;10.0
name166;-3.6052631578947363;1.7526315789473692;10.0
name167;-3.6052631578947363;6.044736842105266;10.0
name168;-3.6052631578947363;10.336842105263159;10.0
name169;-3.6052631578947363;14.628947368421052;40.0
name170;-3.6052631578947363;18.921052631578945;40.0
name171;-3.6052631578947363;23.213157894736845;30.0
name172;-3.6052631578947363;27.50526315789474;10.0
name173;-3.6052631578947363;31.79736842105263;20.0
name174;-3.6052631578947363;36.08947368421053;30.0
name175;-3.6052631578947363;40.381578947368425;20.0
name176;-3.6052631578947363;44.67368421052632;40.0
name177;-3.6052631578947363;48.96578947368421;40.0
name178;-3.6052631578947363;53.257894736842104;10.0
name179;-3.6052631578947363;57.55;10.0
name180;-0.36842105263157876;-24.0;10.0
name181;-0.36842105263157876;-19.707894736842107;10.0
name182;-0.36842105263157876;-15.41578947368421;10.0
name183;-0.36842105263157876;-11.123684210526315;10.0
name184;-0.36842105263157876;-6.8315789473684205;10.0
name185;-0.36842105263157876;-2.5394736842105274;10.0
name186;-0.36842105263157876;1.7526315789473692;10.0
name187;-0.36842105263157876;6.044736842105266;10.0
name188;-0.36842105263157876;10.336842105263159;10.0
name189;-0.36842105263157876;14.628947368421052;40.0
name190;-0.36842105263157876;18.921052631578945;40.0
name191;-0.36842105263157876;23.213157894736845;30.0
name192;-0.36842105263157876;27.50526315789474;10.0
name193;-0.36842105263157876;31.79736842105263;20.0
name194;-0.36842105263157876;36.08947368421053;30.0
name195;-0.36842105263157876;40.381578947368425;20.0
name196;-0.36842105263157876;44.67368421052632;40.0
name197;-0.36842105263157876;48.96578947368421;40.0
name198;-0.36842105263157876;53.257894736842104;10.0
name199;-0.36842105263157876;57.55;10.0
name200;2.8684210526315823;-24.0;10.0
name201;2.8684210526315823;-19.707894736842107;10.0
name202;2.8684210526315823;-15.41578947368421;10.0
name203;2.8684210526315823;-11.123684210526315;10.0
name204;2.8684210526315823;-6.8315789473684205;10.0
name205;2.8684210526315823;-2.5394736842105274;10.0
name206;2.8684210526315823;1.7526315789473692;10.0
name207;2.8684210526315823;6.044736842105266;10.0
name208;2.8684210526315823;10.336842105263159;10.0
name209;2.8684210526315823;14.628947368421052;40.0
name210;2.8684210526315823;18.921052631578945;40.0
name211;2.8684210526315823;23.213157894736845;30.0
name212;2.8684210526315823;27.50526315789474;10.0
name213;2.8684210526315823;31.79736842105263;20.0
name214;2.8684210526315823;36.08947368421053;30.0
name215;2.8684210526315823;40.381578947368425;20.0
name216;2.8684210526315823;44.67368421052632;40.0
name217;2.8684210526315823;48.96578947368421;40.0
name218;2.8684210526315823;53.257894736842104;10.0
name219;2.8684210526315823;57.55;10.0
name220;6.10526315789474;-24.0;10.0
name221;6.10526315789474;-19.707894736842107;10.0
name222;6.10526315789474;-15.41578947368421;10.0
name223;6.10526315789474;-11.123684210526315;10.0
name224;6.10526315789474;-6.8315789473684205;10.0
name225;6.10526315789474;-2.5394736842105274;10.0
name226;6.10526315789474;1.7526315789473692;10.0
name227;6.10526315789474;6.044736842105266;10.0
name228;6.10526315789474;10.336842105263159;10.0
name229;6.10526315789474;14.628947368421052;40.0
name230;6.10526315789474;18.921052631578945;40.0
name231;6.10526315789474;23.213157894736845;30.0
name232;6.10526315789474;27.50526315789474;10.0
name233;6.10526315789474;31.79736842105263;20.0
name234;6.10526315789474;36.08947368421053;30.0
name235;6.10526315789474;40.381578947368425;20.0
name236;6.10526315789474;44.67368421052632;40.0
name237;6.10526315789474;48.96578947368421;40.0
name238;6.10526315789474;53.257894736842104;10.0
name239;6.10526315789474;57.55;10.0
name240;9.342105263157897;-24.0;10.0
name241;9.342105263157897;-19.707894736842107;10.0
name242;9.342105263157897;-15.41578947368421;20.0
name243;9.342105263157897;-11.123684210526315;20.0
name244;9.342105263157897;-6.8315789473684205;20.0
name245;9.342105263157897;-2.5394736842105274;10.0
name246;9.342105263157897;1.7526315789473692;20.0
name247;9.342105263157897;6.044736842105266;10.0
name248;9.342105263157897;10.336842105263159;10.0
name249;9.342105263157897;14.628947368421052;40.0
name250;9.342105263157897;18.921052631578945;40.0
name251;9.342105263157897;23.213157894736845;30.0
name252;9.342105263157897;27.50526315789474;10.0
name253;9.342105263157897;31.79736842105263;20.0
name254;9.342105263157897;36.08947368421053;20.0
name255;9.342105263157897;40.381578947368425;20.0
name256;9.342105263157897;44.67368421052632;20.0
name257;9.342105263157897;48.96578947368421;20.0
name258;9.342105263157897;53.257894736842104;10.0
name259;9.342105263157897;57.55;10.0
name260;12.578947368421055;-24.0;10.0
name261;12.578947368421055;-19.707894736842107;10.0
name262;12.578947368421055;-15.41578947368421;20.0
name263;12.578947368421055;-11.123684210526315;20.0
name264;12.578947368421055;-6.8315789473684205;20.0
name265;12.578947368421055;-2.5394736842105274;20.0
name266;12.578947368421055;1.7526315789473692;20.0
name267;12.578947368421055;6.044736842105266;10.0
name268;12.578947368421055;10.336842105263159;10.0
name269;12.578947368421055;14.628947368421052;40.0
name270;12.578947368421055;18.921052631578945;40.0
name271;12.578947368421055;23.213157894736845;30.0
name272;12.578947368421055;27.50526315789474;10.0
name273;12.578947368421055;31.79736842105263;20.0
name274;12.578947368421055;36.08947368421053;30.0
name275;12.578947368421055;40.381578947368425;20.0
name276;12.578947368421055;44.67368421052632;30.0
name277;12.578947368421055;48.96578947368421;30.0
name278;12.578947368421055;53.257894736842104;10.0
name279;12.578947368421055;57.55;10.0
name280;15.815789473684212;-24.0;10.0
name281;15.815789473684212;-19.707894736842107;10.0
name282;15.815789473684212;-15.41578947368421;10.0
name283;15.815789473684212;-11.123684210526315;10.0
name284;15.815789473684212;-6.8315789473684205;10.0
name285;15.815789473684212;-2.5394736842105274;10.0
name286;15.815789473684212;1.7526315789473692;10.0
name287;15.815789473684212;6.044736842105266;10.0
name288;15.815789473684212;10.336842105263159;10.0
name289;15.815789473684212;14.628947368421052;40.0
name290;15.815789473684212;18.921052631578945;40.0
name291;15.815789473684212;23.213157894736845;30.0
name292;15.815789473684212;27.50526315789474;10.0
name293;15.815789473684212;31.79736842105263;20.0
name294;15.815789473684212;36.08947368421053;30.0
name295;15.815789473684212;40.381578947368425;20.0
name296;15.815789473684212;44.67368421052632;30.0
name297;15.815789473684212;48.96578947368421;30.0
name298;15.815789473684212;53.257894736842104;10.0
name299;15.815789473684212;57.55;10.0
name300;19.05263157894737;-24.0;10.0
name301;19.05263157894737;-19.707894736842107;10.0
name302;19.05263157894737;-15.41578947368421;10.0
name303;19.05263157894737;-11.123684210526315;10.0
name304;19.05263157894737;-6.8315789473684205;10.0
name305;19.05263157894737;-2.5394736842105274;10.0
name306;19.05263157894737;1.7526315789473692;10.0
name307;19.05263157894737;6.044736842105266;10.0
name308;19.05263157894737;10.336842105263159;10.0
name309;19.05263157894737;14.628947368421052;40.0
name310;19.05263157894737;18.921052631578945;40.0
name311;19.05263157894737;23.213157894736845;30.0
name312;19.05263157894737;27.50526315789474;10.0
name313;19.05263157894737;31.79736842105263;20.0
name314;19.05263157894737;36.08947368421053;30.0
name315;19.05263157894737;40.381578947368425;20.0
name316;19.05263157894737;44.67368421052632;30.0
name317;19.05263157894737;48.96578947368421;30.0
name318;19.05263157894737;53.257894736842104;10.0
name319;19.05263157894737;57.55;10.0
name320;22.289473684210527;-24.0;0.0
name321;22.289473684210527;-19.707894736842107;0.0
name322;22.289473684210527;-15.41578947368421;0.0
name323;22.289473684210527;-11.123684210526315;0.0
name324;22.289473684210527;-6.8315789473684205;0.0
name325;22.289473684210527;-2.5394736842105274;0.0
name326;22.289473684210527;1.7526315789473692;0.0
name327;22.289473684210527;6.044736842105266;0.0
name328;22.289473684210527;10.336842105263159;0.0
name329;22.289473684210527;14.628947368421052;0.0
name330;22.289473684210527;18.921052631578945;0.0
name331;22.289473684210527;23.213157894736845;0.0
name332;22.289473684210527;27.50526315789474;0.0
name333;22.289473684210527;31.79736842105263;0.0
name334;22.289473684210527;36.08947368421053;0.0
name335;22.289473684210527;40.381578947368425;0.0
name336;22.289473684210527;44.67368421052632;0.0
name337;22.289473684210527;48.96578947368421;0.0
name338;22.289473684210527;53.257894736842104;0.0
name339;22.289473684210527;57.55;0.0
name340;25.526315789473685;-24.0;0.0
name341;25.526315789473685;-19.707894736842107;0.0
name342;25.526315789473685;-15.41578947368421;0.0
name343;25.526315789473685;-11.123684210526315;0.0
name344;25.526315789473685;-6.8315789473684205;0.0
name345;25.526315789473685;-2.5394736842105274;0.0
name346;25.526315789473685;1.7526315789473692;0.0
name347;25.526315789473685;6.044736842105266;0.0
name348;25.526315789473685;10.336842105263159;0.0
name349;25.526315789473685;14.628947368421052;0.0
name350;25.526315789473685;18.921052631578945;0.0
name351;25.526315789473685;23.213157894736845;0.0
name352;25.526315789473685;27.50526315789474;0.0
name353;25.526315789473685;31.79736842105263;0.0
name354;25.526315789473685;36.08947368421053;0.0
name355;25.526315789473685;40.381578947368425;0.0
name356;25.526315789473685;44.67368421052632;0.0
name357;25.526315789473685;48.96578947368421;0.0
name358;25.526315789473685;53.257894736842104;0.0
name359;25.526315789473685;57.55;0.0
name360;28.763157894736842;-24.0;0.0
name361;28.763157894736842;-19.707894736842107;0.0
name362;28.763157894736842;-15.41578947368421;0.0
name363;28.763157894736842;-11.123684210526315;0.0
name364;28.763157894736842;-6.8315789473684205;0.0
name365;28.763157894736842;-2.5394736842105274;0.0
name366;28.763157894736842;1.7526315789473692;0.0
name367;28.763157894736842;6.044736842105266;0.0
name368;28.763157894736842;10.336842105263159;0.0
name369;28.763157894736842;14.628947368421052;0.0
name370;28.763157894736842;18.921052631578945;0.0
name371;28.763157894736842;23.213157894736845;0.0
name372;28.763157894736842;27.50526315789474;0.0
name373;28.763157894736842;31.79736842105263;0.0
name374;28.763157894736842;36.08947368421053;0.0
name375;28.763157894736842;40.381578947368425;0.0
name376;28.763157894736842;44.67368421052632;0.0
name377;28.763157894736842;48.96578947368421;0.0
name378;28.763157894736842;53.257894736842104;0.0
name379;28.763157894736842;57.55;0.0
name380;32.0;-24.0;0.0
name381;32.0;-19.707894736842107;0.0
name382;32.0;-15.41578947368421;0.0
name383;32.0;-11.123684210526315;0.0
name384;32.0;-6.8315789473684205;0.0
name385;32.0;-2.5394736842105274;0.0
name386;32.0;1.7526315789473692;0.0
name387;32.0;6.044736842105266;0.0
name388;32.0;10.336842105263159;0.0
name389;32.0;14.628947368421052;0.0
name390;32.0;18.921052631578945;0.0
name391;32.0;23.213157894736845;0.0
name392;32.0;27.50526315789474;0.0
name393;32.0;31.79736842105263;0.0
name394;32.0;36.08947368421053;0.0
name395;32.0;40.381578947368425;0.0
name396;32.0;44.67368421052632;0.0
name397;32.0;48.96578947368421;0.0
name398;32.0;53.257894736842104;0.0
name399;32.0;57.55;0.0
